GEFIS_EINHEIT;GEBIETS_NAME;INDIKATOR_NAME;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990
891300PP;Ottenbach, Politische Gemeinde;Steuerertrag [Fr./Einw.];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
891300P;Ottenbach, Politische Gemeinde (bis 2020);Steuerertrag [Fr./Einw.];1185;1211;1212;1133;1060;1077;1086;1092;1166;1102;1123;1194;989;1008;934;922;820;676;692;604;619;607;661;649;615;489;451;427;385;428
833000PS;Pfäffikon, Politische Gemeinde;Steuerertrag [Fr./Einw.];3393;3138;2869;2851;2705;2763;2726;2715;2852;2577;2877;2877;2505;2430;2347;2333;2241;2405;;;;;;;;;;;;
842200PS;Pfungen, Politische Gemeinde;Steuerertrag [Fr./Einw.];2398;2474;2316;2317;2446;2304;2295;2354;2253;2063;2443;2516;2508;2546;2139;2133;2042;;;;;;;;;;;;;
819700PS;Rafz, Politische Gemeinde;Steuerertrag [Fr./Einw.];2797;2597;2747;2601;2399;2416;2496;2604;2644;2648;2601;2319;2357;2165;2189;2274;2074;2289;;;;;;;;;;;;
815800P;Regensberg, Politische Gemeinde;Steuerertrag [Fr./Einw.];1370;1240;1194;1041;1074;971;1167;1195;1282;1443;1337;1384;1529;1544;1649;1563;1635;1689;1500;1445;1483;1271;1234;1376;1344;1040;1301;1019;917;1026
810500PP;Regensdorf, Politische Gemeinde;Steuerertrag [Fr./Einw.];2511;2471;;;;;;;;;;;;;;;;;;;;;;;;;;;;
846200PP;Rheinau, Politische Gemeinde;Steuerertrag [Fr./Einw.];2264;2199;2418;2465;2225;2087;1976;1920;2187;2171;2081;1890;1804;1939;1911;1956;1875;;;;;;;;;;;;;
880500PS;Richterswil, Politische Gemeinde;Steuerertrag [Fr./Einw.];3234;3197;3338;3129;3176;2985;3295;2884;3143;2852;3368;2846;2613;2648;2862;2546;2608;2756;2526;2666;2599;872;;;;;;;;
854500PP;Rickenbach, Politische Gemeinde;Steuerertrag [Fr./Einw.];1848;1764;1745;1746;1754;;;;;;;;;;;;;;;;;;;;;;;;;
891100PP;Rifferswil, Politische Gemeinde;Steuerertrag [Fr./Einw.];2866;2887;2906;2546;2154;2250;1936;2137;1918;2330;2024;1898;1689;2014;1781;1736;1732;1958;1493;1936;1666;1415;1341;1313;1506;1493;1269;1233;1032;1044
842700P;Rorbas, Politische Gemeinde;Steuerertrag [Fr./Einw.];648;638;730;651;678;685;701;790;878;801;915;835;736;783;734;675;726;683;733;712;655;522;530;568;510;479;500;462;483;565
815300P;Rümlang, Politische Gemeinde;Steuerertrag [Fr./Einw.];1409;1297;1314;1507;1480;1295;1292;1390;1438;1451;1328;1303;1277;1120;1191;1205;1294;1244;1253;1151;1194;1082;967;1151;996;967;950;1025;833;861
880300PS;Rüschlikon, Politische Gemeinde;Steuerertrag [Fr./Einw.];13074;11826;11657;8361;7875;7714;8794;8740;38306;9610;11691;14510;7639;8494;6771;7256;5743;5286;5649;5476;5556;4412;4515;4707;5172;4545;4557;3747;3950;4175
833200PS;Russikon, Politische Gemeinde;Steuerertrag [Fr./Einw.];3360;3106;3151;2952;2942;2932;2934;3087;3331;3224;3295;3165;3200;2957;2750;2620;2783;3117;;;;;;;;;;;;
863000P;Rüti, Politische Gemeinde;Steuerertrag [Fr./Einw.];1137;1175;1145;1175;1094;1129;1098;1173;1112;1052;1021;947;854;833;842;829;849;904;811;820;722;596;651;672;661;638;664;605;602;609
