"Gemeindenamen","BFS-Nr.","Listen-Nr.","Liste","Wahlkreis-Nr.","Wahlkreis","Stimmen","Stimmenanteil","+/- (Stimmenanteil)","Stimmenzusatz","Wähler","Wähleranteil","+/- (Wähleranteil)","Stimmenanteil 2015","Wähleranteil 2015"
"Benken","22","3","FDP","16","Wahlkreis XVI, Andelfingen","176","20.75","9.91","2","44","20.75","9.91","10.85","10.85"
"Benken","22","4","GLP","16","Wahlkreis XVI, Andelfingen","45","5.31","3.18","1","11","5.31","3.18","2.12","2.12"
"Benken","22","5","Grüne","16","Wahlkreis XVI, Andelfingen","101","11.91","-2.95","3","25","11.91","-2.95","14.86","14.86"
"Benken","22","6","CVP","16","Wahlkreis XVI, Andelfingen","4","0.47","-2.36","0","1","0.47","-2.36","2.83","2.83"
"Benken","22","7","EVP","16","Wahlkreis XVI, Andelfingen","16","1.89","1.06","0","4","1.89","1.06","0.83","0.83"
"Benken","22","8","AL","16","Wahlkreis XVI, Andelfingen","3","0.35","-1.18","0","1","0.35","-1.18","1.53","1.53"
"Benken","22","9","BDP","16","Wahlkreis XVI, Andelfingen","55","6.49","-1.65","0","14","6.49","-1.65","8.14","8.14"
"Benken","22","10","EDU","16","Wahlkreis XVI, Andelfingen","19","2.24","-1.06","0","5","2.24","-1.06","3.3","3.3"
"Berg am Irchel","23","1","SVP","16","Wahlkreis XVI, Andelfingen","373","47.1","-2.64","10","93","47.1","-2.64","49.74","49.74"
"Berg am Irchel","23","2","SP","16","Wahlkreis XVI, Andelfingen","59","7.45","1.2","0","15","7.45","1.2","6.25","6.25"
"Berg am Irchel","23","3","FDP","16","Wahlkreis XVI, Andelfingen","113","14.27","-1.49","3","28","14.27","-1.49","15.76","15.76"
"Berg am Irchel","23","4","GLP","16","Wahlkreis XVI, Andelfingen","92","11.62","7.45","4","23","11.62","7.45","4.17","4.17"
"Berg am Irchel","23","5","Grüne","16","Wahlkreis XVI, Andelfingen","72","9.09","-1.98","0","18","9.09","-1.98","11.07","11.07"
"Berg am Irchel","23","6","CVP","16","Wahlkreis XVI, Andelfingen","10","1.26","-0.56","0","3","1.26","-0.56","1.82","1.82"
"Berg am Irchel","23","7","EVP","16","Wahlkreis XVI, Andelfingen","18","2.27","0.71","0","5","2.27","0.71","1.56","1.56"
"Berg am Irchel","23","8","AL","16","Wahlkreis XVI, Andelfingen","2","0.25","-0.66","0","1","0.25","-0.66","0.91","0.91"
"Berg am Irchel","23","9","BDP","16","Wahlkreis XVI, Andelfingen","41","5.18","-1.98","0","10","5.18","-1.98","7.16","7.16"
"Berg am Irchel","23","10","EDU","16","Wahlkreis XVI, Andelfingen","12","1.52","-0.05","0","3","1.52","-0.05","1.56","1.56"
"Birmensdorf","242","1","SVP","7","Wahlkreis VII, Dietikon","4239","28.21","-7.79","35","385","28.21","-7.79","36.01","36.01"
"Birmensdorf","242","2","SP","7","Wahlkreis VII, Dietikon","2990","19.9","3.77","41","272","19.9","3.77","16.13","16.13"
"Birmensdorf","242","3","FDP","7","Wahlkreis VII, Dietikon","2412","16.05","-3.26","39","219","16.05","-3.26","19.31","19.31"
"Birmensdorf","242","4","GLP","7","Wahlkreis VII, Dietikon","2269","15.1","7.7","59","206","15.1","7.7","7.4","7.4"
"Birmensdorf","242","5","Grüne","7","Wahlkreis VII, Dietikon","1064","7.08","2.69","8","97","7.08","2.69","4.39","4.39"
"Birmensdorf","242","6","CVP","7","Wahlkreis VII, Dietikon","1164","7.75","-0.98","18","106","7.75","-0.98","8.73","8.73"
"Birmensdorf","242","7","EVP","7","Wahlkreis VII, Dietikon","165","1.1","-0.8","5","15","1.1","-0.8","1.9","1.9"
"Birmensdorf","242","8","AL","7","Wahlkreis VII, Dietikon","178","1.18","0.06","0","16","1.18","0.06","1.12","1.12"
"Birmensdorf","242","9","BDP","7","Wahlkreis VII, Dietikon","278","1.85","0.01","4","25","1.85","0.01","1.84","1.84"
"Birmensdorf","242","10","EDU","7","Wahlkreis VII, Dietikon","267","1.78","-0.4","0","24","1.78","-0.4","2.18","2.18"
"Bonstetten","3","1","SVP","8","Wahlkreis VIII, Affoltern","1879","22.73","-5.6","22","313","22.73","-5.6","28.33","28.33"
"Bonstetten","3","2","SP","8","Wahlkreis VIII, Affoltern","1683","20.36","0.58","8","281","20.36","0.58","19.78","19.78"
"Bonstetten","3","3","FDP","8","Wahlkreis VIII, Affoltern","1710","20.68","-0.92","40","285","20.68","-0.92","21.6","21.6"
"Bonstetten","3","4","GLP","8","Wahlkreis VIII, Affoltern","1208","14.61","4.1","8","201","14.61","4.1","10.51","10.51"
"Bonstetten","3","5","Grüne","8","Wahlkreis VIII, Affoltern","863","10.44","1.78","5","144","10.44","1.78","8.66","8.66"
"Bonstetten","3","6","CVP","8","Wahlkreis VIII, Affoltern","185","2.24","-0.11","1","31","2.24","-0.11","2.34","2.34"
"Bonstetten","3","7","EVP","8","Wahlkreis VIII, Affoltern","457","5.53","0.13","1","76","5.53","0.13","5.4","5.4"
"Bonstetten","3","8","AL","8","Wahlkreis VIII, Affoltern","114","1.38","-0.12","4","19","1.38","-0.12","1.49","1.49"
"Bonstetten","3","9","BDP","8","Wahlkreis VIII, Affoltern","43","0.52","0.52","4","7","0.52","0.52","",""
"Bonstetten","3","10","EDU","8","Wahlkreis VIII, Affoltern","126","1.52","0.22","0","21","1.52","0.22","1.3","1.3"
"Boppelsen","82","1","SVP","18","Wahlkreis XVIII, Dielsdorf","1943","38.48","-2.84","100","177","38.48","-2.84","41.32","41.32"
"Boppelsen","82","2","SP","18","Wahlkreis XVIII, Dielsdorf","473","9.37","-2.66","1","43","9.37","-2.66","12.03","12.03"
"Boppelsen","82","3","FDP","18","Wahlkreis XVIII, Dielsdorf","746","14.78","-4.9","7","68","14.78","-4.9","19.67","19.67"
"Boppelsen","82","4","GLP","18","Wahlkreis XVIII, Dielsdorf","839","16.62","9.33","16","76","16.62","9.33","7.29","7.29"
"Boppelsen","82","5","Grüne","18","Wahlkreis XVIII, Dielsdorf","415","8.22","3.02","3","38","8.22","3.02","5.19","5.19"
"Boppelsen","82","6","CVP","18","Wahlkreis XVIII, Dielsdorf","108","2.14","-0.39","1","10","2.14","-0.39","2.53","2.53"
"Boppelsen","82","7","EVP","18","Wahlkreis XVIII, Dielsdorf","271","5.37","-1.78","7","25","5.37","-1.78","7.14","7.14"
"Boppelsen","82","8","AL","18","Wahlkreis XVIII, Dielsdorf","8","0.16","0.11","0","1","0.16","0.11","0.05","0.05"
"Boppelsen","82","9","BDP","18","Wahlkreis XVIII, Dielsdorf","45","0.89","-0.14","0","4","0.89","-0.14","1.03","1.03"
"Boppelsen","82","10","EDU","18","Wahlkreis XVIII, Dielsdorf","201","3.98","0.49","0","18","3.98","0.49","3.49","3.49"
"Brütten","213","1","SVP","15","Wahlkreis XV, Winterthur-Land","1293","30.43","-5.27","22","185","30.43","-5.27","35.7","35.7"
"Brütten","213","2","SP","15","Wahlkreis XV, Winterthur-Land","486","11.44","-0.34","5","69","11.44","-0.34","11.77","11.77"
"Brütten","213","3","FDP","15","Wahlkreis XV, Winterthur-Land","1071","25.21","-1.49","16","153","25.21","-1.49","26.7","26.7"
"Brütten","213","4","GLP","15","Wahlkreis XV, Winterthur-Land","633","14.9","4.54","10","90","14.9","4.54","10.35","10.35"
"Brütten","213","5","Grüne","15","Wahlkreis XV, Winterthur-Land","364","8.57","4.61","2","52","8.57","4.61","3.96","3.96"
"Brütten","213","6","CVP","15","Wahlkreis XV, Winterthur-Land","108","2.54","0.69","0","15","2.54","0.69","1.85","1.85"
"Brütten","213","7","EVP","15","Wahlkreis XV, Winterthur-Land","107","2.52","-0.16","0","15","2.52","-0.16","2.68","2.68"
"Brütten","213","8","AL","15","Wahlkreis XV, Winterthur-Land","9","0.21","-0.14","0","1","0.21","-0.14","0.36","0.36"
"Brütten","213","9","BDP","15","Wahlkreis XV, Winterthur-Land","81","1.91","-2.64","0","12","1.91","-2.64","4.55","4.55"
"Brütten","213","10","EDU","15","Wahlkreis XV, Winterthur-Land","97","2.28","0.65","0","14","2.28","0.65","1.63","1.63"
"Bubikon","112","1","SVP","11","Wahlkreis XI, Hinwil","5438","27.03","-6.42","64","494","27.03","-6.42","33.45","33.45"
"Bubikon","112","2","SP","11","Wahlkreis XI, Hinwil","2510","12.48","-1.1","60","228","12.48","-1.1","13.58","13.58"
"Bubikon","112","3","FDP","11","Wahlkreis XI, Hinwil","2259","11.23","-0.06","48","205","11.23","-0.06","11.28","11.28"
"Bubikon","112","4","GLP","11","Wahlkreis XI, Hinwil","2735","13.59","5.13","34","249","13.59","5.13","8.47","8.47"
"Bubikon","112","5","Grüne","11","Wahlkreis XI, Hinwil","2573","12.79","6.72","24","234","12.79","6.72","6.07","6.07"
"Bubikon","112","6","CVP","11","Wahlkreis XI, Hinwil","1171","5.82","-0.38","15","106","5.82","-0.38","6.2","6.2"
"Bubikon","112","7","EVP","11","Wahlkreis XI, Hinwil","1052","5.23","1.13","3","96","5.23","1.13","4.1","4.1"
"Bubikon","112","8","AL","11","Wahlkreis XI, Hinwil","215","1.07","-0.16","0","20","1.07","-0.16","1.23","1.23"
"Bubikon","112","9","BDP","11","Wahlkreis XI, Hinwil","458","2.28","-2.13","8","42","2.28","-2.13","4.41","4.41"
"Bubikon","112","10","EDU","11","Wahlkreis XI, Hinwil","1708","8.49","-2.72","11","155","8.49","-2.72","11.21","11.21"
"Buch am Irchel","24","1","SVP","16","Wahlkreis XVI, Andelfingen","460","45.45","-2.05","0","115","45.45","-2.05","47.5","47.5"
"Buch am Irchel","24","2","SP","16","Wahlkreis XVI, Andelfingen","55","5.43","-2.37","0","14","5.43","-2.37","7.8","7.8"
"Buch am Irchel","24","3","FDP","16","Wahlkreis XVI, Andelfingen","155","15.32","-1.58","0","39","15.32","-1.58","16.9","16.9"
"Buch am Irchel","24","4","GLP","16","Wahlkreis XVI, Andelfingen","126","12.45","5.95","0","32","12.45","5.95","6.5","6.5"
"Buch am Irchel","24","5","Grüne","16","Wahlkreis XVI, Andelfingen","55","5.43","1.23","0","14","5.43","1.23","4.2","4.2"
"Buch am Irchel","24","6","CVP","16","Wahlkreis XVI, Andelfingen","10","0.99","-0.11","0","3","0.99","-0.11","1.1","1.1"
