GEFIS_EINHEIT;GEBIETS_NAME;INDIKATOR_NAME;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990
815500PP;Niederhasli, Politische Gemeinde;BFS-Nr. / SGEM;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;;;;;;;;;;;;;;;;;
816600P;Niederweningen, Politische Gemeinde;BFS-Nr. / SGEM;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;;;;;;;;;;;91;91;91;91;91;91;91;91;91;91
830900PS;Nürensdorf, Politische Gemeinde;BFS-Nr. / SGEM;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;;;;;;;;;;;;;;;;;;;;
842500P;Oberembrach, Politische Gemeinde;BFS-Nr. / SGEM;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65
810200PS;Oberengstringen, Politische Gemeinde;BFS-Nr. / SGEM;245;245;245;245;245;245;245;245;245;245;245;245;245;245;245;245;245;245;;;;;;;;;;;;;;;;;
815400PP;Oberglatt, Politische Gemeinde;BFS-Nr. / SGEM;92;92;92;92;92;92;92;92;92;92;92;;;;;;;;;;;;;;;;;;;;;;;;
894200PS;Oberrieden, Politische Gemeinde;BFS-Nr. / SGEM;137;137;137;137;137;137;137;137;137;137;137;137;137;137;137;;;;;;;;;;;;;;;;;;;;
816501P;Oberweningen, Politische Gemeinde;BFS-Nr. / SGEM;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93
891200PP;Obfelden, Politische Gemeinde;BFS-Nr. / SGEM;10;10;10;10;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
895500P;Oetwil a.d.L., Politische Gemeinde;BFS-Nr. / SGEM;246;246;246;246;246;246;246;246;246;246;246;246;246;246;246;246;246;246;246;246;246;246;246;246;246;246;246;246;246;246;246;246;246;246;246
861800PS;Oetwil am See, Politische Gemeinde;BFS-Nr. / SGEM;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;;;;;;;;;;;;;
815200PS;Opfikon, Stadt;BFS-Nr. / SGEM;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66
847500P;Ossingen, Politische Gemeinde;BFS-Nr. / SGEM;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37
811200PP;Otelfingen, Politische Gemeinde;BFS-Nr. / SGEM;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;;;;;
891300PP;Ottenbach, Politische Gemeinde;BFS-Nr. / SGEM;11;11;11;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
891300P;Ottenbach, Politische Gemeinde (bis 2020);BFS-Nr. / SGEM;;;;;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11
833000PS;Pfäffikon, Politische Gemeinde;BFS-Nr. / SGEM;177;177;177;177;177;177;177;177;177;177;177;177;177;177;177;177;177;177;177;177;177;177;177;;;;;;;;;;;;
842200PS;Pfungen, Politische Gemeinde;BFS-Nr. / SGEM;224;224;224;224;224;224;224;224;224;224;224;224;224;224;224;224;224;224;224;224;224;224;;;;;;;;;;;;;
819700PS;Rafz, Politische Gemeinde;BFS-Nr. / SGEM;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;;;;;;;;;;;;
815800P;Regensberg, Politische Gemeinde;BFS-Nr. / SGEM;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95
